Frames,mov_headvel,error_reason,dbm_master_url
86,2.21585198061603,Pass,/app/raw_data/subj02_timepoint02.mp4
87,2.551470164434625,Pass,/app/raw_data/subj02_timepoint02.mp4
88,4.644351407893249,Pass,/app/raw_data/subj02_timepoint02.mp4
89,0.09999999999999787,Pass,/app/raw_data/subj02_timepoint02.mp4
90,2.5159491250818253,Pass,/app/raw_data/subj02_timepoint02.mp4
91,2.2891046284519248,Pass,/app/raw_data/subj02_timepoint02.mp4
92,2.0124611797498098,Pass,/app/raw_data/subj02_timepoint02.mp4
93,2.1236760581595298,Pass,/app/raw_data/subj02_timepoint02.mp4
94,1.705872210923199,Pass,/app/raw_data/subj02_timepoint02.mp4
95,1.7804493814764986,Pass,/app/raw_data/subj02_timepoint02.mp4
96,1.3490737563232031,Pass,/app/raw_data/subj02_timepoint02.mp4
97,0.648074069840772,Pass,/app/raw_data/subj02_timepoint02.mp4
98,0.41231056256174436,Pass,/app/raw_data/subj02_timepoint02.mp4
99,2.0832666655999974,Pass,/app/raw_data/subj02_timepoint02.mp4
100,0.0,Pass,/app/raw_data/subj02_timepoint02.mp4
101,1.1000000000000112,Pass,/app/raw_data/subj02_timepoint02.mp4
102,2.229349680960796,Pass,/app/raw_data/subj02_timepoint02.mp4
103,2.5922962793631426,Pass,/app/raw_data/subj02_timepoint02.mp4
104,3.5482389998420345,Pass,/app/raw_data/subj02_timepoint02.mp4
105,6.021627686929842,Pass,/app/raw_data/subj02_timepoint02.mp4
106,0.7348469228349424,Pass,/app/raw_data/subj02_timepoint02.mp4
107,3.5185224171518388,Pass,/app/raw_data/subj02_timepoint02.mp4
108,5.390732788777414,Pass,/app/raw_data/subj02_timepoint02.mp4
109,5.940538696111649,Pass,/app/raw_data/subj02_timepoint02.mp4
110,4.592385001282017,Pass,/app/raw_data/subj02_timepoint02.mp4
111,4.74341649025257,Pass,/app/raw_data/subj02_timepoint02.mp4
112,5.221110992882659,Pass,/app/raw_data/subj02_timepoint02.mp4
113,3.9166312055132306,Pass,/app/raw_data/subj02_timepoint02.mp4
114,3.7282703764614484,Pass,/app/raw_data/subj02_timepoint02.mp4
115,5.334791467339675,Pass,/app/raw_data/subj02_timepoint02.mp4
116,4.10487515035475,Pass,/app/raw_data/subj02_timepoint02.mp4
117,4.628174586162447,Pass,/app/raw_data/subj02_timepoint02.mp4
118,0.3162277660167947,Pass,/app/raw_data/subj02_timepoint02.mp4
119,3.760319135392651,Pass,/app/raw_data/subj02_timepoint02.mp4
120,2.8089143810376203,Pass,/app/raw_data/subj02_timepoint02.mp4
121,1.6970562748477056,Pass,/app/raw_data/subj02_timepoint02.mp4
122,5.460769176590429,Pass,/app/raw_data/subj02_timepoint02.mp4
123,0.7874007874011822,Pass,/app/raw_data/subj02_timepoint02.mp4
124,1.208304597359478,Pass,/app/raw_data/subj02_timepoint02.mp4
125,3.0083217912982643,Pass,/app/raw_data/subj02_timepoint02.mp4
126,0.0999999999999659,Pass,/app/raw_data/subj02_timepoint02.mp4
127,1.417744687875796,Pass,/app/raw_data/subj02_timepoint02.mp4
128,0.3316624790355506,Pass,/app/raw_data/subj02_timepoint02.mp4
129,4.517742799230576,Pass,/app/raw_data/subj02_timepoint02.mp4
130,9.852410872471772,Pass,/app/raw_data/subj02_timepoint02.mp4
131,1.827566688249718,Pass,/app/raw_data/subj02_timepoint02.mp4
132,2.96816441593116,Pass,/app/raw_data/subj02_timepoint02.mp4
133,3.5156791662493903,Pass,/app/raw_data/subj02_timepoint02.mp4
134,3.828837943815325,Pass,/app/raw_data/subj02_timepoint02.mp4
135,5.219195340279962,Pass,/app/raw_data/subj02_timepoint02.mp4
136,6.466838485689911,Pass,/app/raw_data/subj02_timepoint02.mp4
137,5.872818744010409,Pass,/app/raw_data/subj02_timepoint02.mp4
138,5.604462507680822,Pass,/app/raw_data/subj02_timepoint02.mp4
139,4.6701177715342475,Pass,/app/raw_data/subj02_timepoint02.mp4
140,8.635971282953642,Pass,/app/raw_data/subj02_timepoint02.mp4
141,0.28284271247462117,Pass,/app/raw_data/subj02_timepoint02.mp4
142,4.3600458713183095,Pass,/app/raw_data/subj02_timepoint02.mp4
143,5.493632677928139,Pass,/app/raw_data/subj02_timepoint02.mp4
144,3.0561413579872263,Pass,/app/raw_data/subj02_timepoint02.mp4
145,3.4336569426778865,Pass,/app/raw_data/subj02_timepoint02.mp4
146,3.011644069275124,Pass,/app/raw_data/subj02_timepoint02.mp4
147,3.7576588456112185,Pass,/app/raw_data/subj02_timepoint02.mp4
148,2.202271554554525,Pass,/app/raw_data/subj02_timepoint02.mp4
