mov_hposepitch,mov_hposeyaw,mov_hposeroll,mov_hposedist,error_reason,dbm_master_url
0.11599999999999999,0.065,0.02,,Pass,/app/raw_data/subj01_timepoint01.mp4
0.11900000000000001,0.054000000000000006,0.023,0.011789826122551595,Pass,/app/raw_data/subj01_timepoint01.mp4
0.11699999999999999,0.047,0.025,0.0075498344352707605,Pass,/app/raw_data/subj01_timepoint01.mp4
0.096,0.043,0.024,0.021400934559032688,Pass,/app/raw_data/subj01_timepoint01.mp4
0.09300000000000001,0.042,0.026000000000000002,0.0037416573867739317,Pass,/app/raw_data/subj01_timepoint01.mp4
0.105,0.046,0.026000000000000002,0.0126491106406735,Pass,/app/raw_data/subj01_timepoint01.mp4
0.11599999999999999,0.048,0.026000000000000002,0.011180339887498945,Pass,/app/raw_data/subj01_timepoint01.mp4
0.11800000000000001,0.054000000000000006,0.027000000000000003,0.006403124237432859,Pass,/app/raw_data/subj01_timepoint01.mp4
0.122,0.059000000000000004,0.027000000000000003,0.00640312423743284,Pass,/app/raw_data/subj01_timepoint01.mp4
0.125,0.06,0.026000000000000002,0.0033166247903554007,Pass,/app/raw_data/subj01_timepoint01.mp4
0.127,0.061,0.025,0.0024494897427831805,Pass,/app/raw_data/subj01_timepoint01.mp4
0.124,0.062,0.025,0.003162277660168382,Pass,/app/raw_data/subj01_timepoint01.mp4
0.125,0.063,0.024,0.001732050807568879,Pass,/app/raw_data/subj01_timepoint01.mp4
0.125,0.062,0.024,0.0010000000000000009,Pass,/app/raw_data/subj01_timepoint01.mp4
0.126,0.062,0.025,0.0014142135623730963,Pass,/app/raw_data/subj01_timepoint01.mp4
0.127,0.06,0.026000000000000002,0.0024494897427831805,Pass,/app/raw_data/subj01_timepoint01.mp4
0.128,0.059000000000000004,0.027999999999999997,0.0024494897427831718,Pass,/app/raw_data/subj01_timepoint01.mp4
0.132,0.059000000000000004,0.027999999999999997,0.0040000000000000036,Pass,/app/raw_data/subj01_timepoint01.mp4
0.131,0.062,0.025,0.004358898943540668,Pass,/app/raw_data/subj01_timepoint01.mp4
0.134,0.062,0.024,0.003162277660168382,Pass,/app/raw_data/subj01_timepoint01.mp4
0.133,0.064,0.023,0.0024494897427831805,Pass,/app/raw_data/subj01_timepoint01.mp4
0.139,0.059000000000000004,0.024,0.007874007874011813,Pass,/app/raw_data/subj01_timepoint01.mp4
