aco_mfcc1,aco_mfcc2,aco_mfcc3,aco_mfcc4,aco_mfcc5,aco_mfcc6,aco_mfcc7,aco_mfcc8,aco_mfcc9,aco_mfcc10,aco_mfcc11,aco_mfcc12,Frames,error_reason,dbm_master_url
137.72188972693348,0.03104931114383902,39.94832657042032,-16.12943827905653,54.44904513241883,-37.01279168288942,38.49250443110962,-21.65899938005715,25.274265756274154,-36.63783552896007,24.82986033365144,-16.53791912908321,0,Pass,/app/raw_data/subj01_timepoint02.mp4
142.50113450059274,0.24397768935846287,47.192400708972315,-13.58171555933085,53.913926487121024,-33.02832915242917,38.80441788926863,-22.342931222274338,19.800860030769854,-37.69781009475632,20.553068147061133,-19.679989329661687,1,Pass,/app/raw_data/subj01_timepoint02.mp4
159.9377315308759,1.673276728119415,53.92479952620427,-17.823639765838173,54.64874364280839,-25.87406549160288,45.62881789818596,-17.505180316540528,24.032688061020856,-33.775231367870575,19.241696074497423,-21.911649798698534,2,Pass,/app/raw_data/subj01_timepoint02.mp4
184.72151409139573,0.11292690052265897,61.973298516054726,-26.006801251149522,59.19969374740887,-19.278890754375933,54.07182816964874,-13.459056983286002,32.04974521862374,-29.98594724128973,18.96576199858592,-24.786677502312,3,Pass,/app/raw_data/subj01_timepoint02.mp4
209.76543661984618,-4.320909983951983,71.92800031836958,-34.9940118164441,65.61140515496108,-19.52336851096122,59.47044101502864,-14.975659460741504,37.8006937302688,-29.454836228233724,19.85746558761558,-26.97218568536038,4,Pass,/app/raw_data/subj01_timepoint02.mp4
231.40242860280273,-8.112363086568344,81.53361923061003,-43.182312875343854,70.48975980707951,-25.675543962087012,61.97649475510589,-19.797789221615382,41.558738223184506,-30.091157762949024,23.01450919804448,-27.34978462021361,5,Pass,/app/raw_data/subj01_timepoint02.mp4
249.94865513783606,-9.94988036235296,89.5177409429542,-49.938473350393124,73.36324179811348,-33.603124044665634,62.720900264721784,-25.266436760016717,44.23183981458196,-30.560144891694986,27.40088866644862,-26.306018023663267,6,Pass,/app/raw_data/subj01_timepoint02.mp4
265.9304063312174,-9.609305698042164,94.87078025973142,-54.73542207692368,74.16509385319812,-40.89605613248163,61.858263504703416,-29.807205984126075,45.84256269491105,-30.118297765563284,31.899874265315454,-23.740788789269885,7,Pass,/app/raw_data/subj01_timepoint02.mp4
280.4070822746815,-7.329894998163727,96.73762288471332,-57.54596520964303,72.8988150090255,-46.57134393024762,59.42740887586295,-32.693930983410795,46.176091506330366,-28.381092836573902,36.0892013983803,-19.128377446039696,8,Pass,/app/raw_data/subj01_timepoint02.mp4
295.1540399749061,-3.654487321421062,94.71553232160969,-58.518592164132485,70.0811362288263,-50.309598333940464,55.908717700794746,-33.797739109921146,45.0161863697862,-25.69208820620433,39.84975987916184,-12.272761075243697,9,Pass,/app/raw_data/subj01_timepoint02.mp4
312.06151831345295,0.9905307455845858,89.7114082788413,-56.90079691442937,66.96912015470943,-52.095124713764186,52.22079045166208,-33.19615250533303,42.15359379667346,-23.276279980063066,42.39159940072438,-4.430809010554583,10,Pass,/app/raw_data/subj01_timepoint02.mp4
330.8096535095677,5.060603755589753,82.63554281006085,-52.051812459754615,64.34489788191941,-52.41251208544016,49.50510912991861,-30.741236851445535,37.692780007316145,-22.151330862941386,43.07544728665679,2.710706595656239,11,Pass,/app/raw_data/subj01_timepoint02.mp4
348.08163205777834,5.446361581109475,72.70976678884324,-45.89058388123791,61.82357463528841,-51.689416402350936,49.249369879334374,-26.19361284903644,32.185949350094994,-22.392217661214506,42.310994620484315,8.218735230775884,12,Pass,/app/raw_data/subj01_timepoint02.mp4
359.60011461446055,0.8477731779880884,59.77290707482915,-42.45164117953245,59.50960575181249,-49.392963684134344,52.49890147771229,-20.015446782237284,26.55124821340684,-23.888974083416883,39.95742231715569,10.39349836229469,13,Pass,/app/raw_data/subj01_timepoint02.mp4
362.12875260003506,-7.210830762924401,45.58178139508402,-45.08489541547456,57.811753074411044,-45.26578120838387,58.21264308193187,-13.614712416289754,21.974842495476075,-27.15489433131021,34.827823416933924,7.351752658948918,14,Pass,/app/raw_data/subj01_timepoint02.mp4
