aco_jitter,error_reason,Frames,dbm_master_url
,Pass,0,/app/raw_data/subj02_timepoint02.mp4
0.019349646529413657,Pass,1,/app/raw_data/subj02_timepoint02.mp4
,Pass,2,/app/raw_data/subj02_timepoint02.mp4
0.028385309192971157,Pass,3,/app/raw_data/subj02_timepoint02.mp4
,Pass,4,/app/raw_data/subj02_timepoint02.mp4
,Pass,5,/app/raw_data/subj02_timepoint02.mp4
,Pass,6,/app/raw_data/subj02_timepoint02.mp4
0.05860964535474732,Pass,7,/app/raw_data/subj02_timepoint02.mp4
,Pass,8,/app/raw_data/subj02_timepoint02.mp4
0.08277027519512002,Pass,9,/app/raw_data/subj02_timepoint02.mp4
,Pass,10,/app/raw_data/subj02_timepoint02.mp4
0.07629087752556052,Pass,11,/app/raw_data/subj02_timepoint02.mp4
,Pass,12,/app/raw_data/subj02_timepoint02.mp4
0.06185443068222214,Pass,13,/app/raw_data/subj02_timepoint02.mp4
,Pass,14,/app/raw_data/subj02_timepoint02.mp4
0.008880125257198215,Pass,15,/app/raw_data/subj02_timepoint02.mp4
,Pass,16,/app/raw_data/subj02_timepoint02.mp4
0.06673646943137287,Pass,17,/app/raw_data/subj02_timepoint02.mp4
,Pass,18,/app/raw_data/subj02_timepoint02.mp4
,Pass,19,/app/raw_data/subj02_timepoint02.mp4
,Pass,20,/app/raw_data/subj02_timepoint02.mp4
,Pass,21,/app/raw_data/subj02_timepoint02.mp4
,Pass,22,/app/raw_data/subj02_timepoint02.mp4
0.1241712640032887,Pass,23,/app/raw_data/subj02_timepoint02.mp4
