frame,fac_asymmaskmouth,fac_asymmaskeyebrow,fac_asymmaskeye,fac_asymmaskcom,error_reason,face_id,timestamp,confidence,success,dbm_master_url
1,4.535759022573779,1.4693241338009757,1.7061930843815603,2.835255334520235,pass,0,0.0,0.98,1,/app/raw_data/subj01_timepoint02.mp4
2,5.239047272091491,1.6608955787141362,2.38514455238049,3.3961959676097653,pass,0,0.033,0.98,1,/app/raw_data/subj01_timepoint02.mp4
3,5.266017183541968,1.6287908371217614,2.351930255778442,3.388614378348168,pass,0,0.067,0.98,1,/app/raw_data/subj01_timepoint02.mp4
4,5.355558988810187,1.9767333741319537,2.3462503169999955,3.5160863517442746,pass,0,0.1,0.98,1,/app/raw_data/subj01_timepoint02.mp4
5,5.102767314472745,1.723271297132817,2.023298940324063,3.2409625601784438,pass,0,0.133,0.98,1,/app/raw_data/subj01_timepoint02.mp4
6,4.943133932957012,1.642459205580204,1.862531112319454,3.1017133771302023,pass,0,0.16699999999999998,0.98,1,/app/raw_data/subj01_timepoint02.mp4
7,4.692565434616646,1.8110334479951304,1.6917942856085058,2.986655601608413,pass,0,0.2,0.98,1,/app/raw_data/subj01_timepoint02.mp4
8,4.479394120290467,1.6239355279569079,1.43369530723869,2.7661580234494956,pass,0,0.233,0.98,1,/app/raw_data/subj01_timepoint02.mp4
9,4.655166042692611,1.6188227334046084,1.7986993337532133,2.9540862111096424,pass,0,0.267,0.98,1,/app/raw_data/subj01_timepoint02.mp4
10,4.598619887424881,1.7092668936640476,1.7322354366530803,2.9330897993493568,pass,0,0.3,0.98,1,/app/raw_data/subj01_timepoint02.mp4
11,4.254694010537774,1.5145913541826506,1.7099775340415944,2.730019687340264,pass,0,0.33299999999999996,0.98,1,/app/raw_data/subj01_timepoint02.mp4
12,4.344838860478372,1.5849713956772038,1.9422196696249099,2.8598360989453924,pass,0,0.36700000000000005,0.98,1,/app/raw_data/subj01_timepoint02.mp4
13,4.967534528899446,2.103372998407354,2.469949239618055,3.4250966663652975,pass,0,0.4,0.98,1,/app/raw_data/subj01_timepoint02.mp4
14,4.428584455281246,1.782779062975181,2.0237496535106874,2.9728983620100005,pass,0,0.433,0.98,1,/app/raw_data/subj01_timepoint02.mp4
15,4.379906978349578,2.217597542315375,2.2030175713363795,3.1234394192837778,pass,0,0.467,0.98,1,/app/raw_data/subj01_timepoint02.mp4
16,4.145538837360869,1.971632238154213,2.0702882344959534,2.918115857717565,pass,0,0.5,0.98,1,/app/raw_data/subj01_timepoint02.mp4
17,3.8319640315209034,1.8635292610779206,2.0408061383424547,2.7483260730321875,pass,0,0.5329999999999999,0.98,1,/app/raw_data/subj01_timepoint02.mp4
18,4.403200515669251,1.9809809470823319,2.1946786758869337,3.0683463640045936,pass,0,0.5670000000000001,0.98,1,/app/raw_data/subj01_timepoint02.mp4
19,4.245683274922639,2.3445565562236603,2.3345545028933254,3.141872420939967,pass,0,0.6,0.98,1,/app/raw_data/subj01_timepoint02.mp4
20,4.260637750535134,2.144224896492752,2.2873563630622704,3.080545508690445,pass,0,0.633,0.98,1,/app/raw_data/subj01_timepoint02.mp4
21,4.146496353712781,2.063807417803674,2.273720385650099,3.0070173806642746,pass,0,0.667,0.98,1,/app/raw_data/subj01_timepoint02.mp4
22,3.7104482946082946,1.860665996344423,2.2987306442349467,2.777857905473587,pass,0,0.7,0.98,1,/app/raw_data/subj01_timepoint02.mp4
23,4.064252294245491,2.2498235895662644,2.4670872951132004,3.082403161709182,pass,0,0.733,0.98,1,/app/raw_data/subj01_timepoint02.mp4
24,4.170309347239572,2.3802565059037595,2.720881677497362,3.241528809074713,pass,0,0.767,0.98,1,/app/raw_data/subj01_timepoint02.mp4
25,3.8544160037368043,1.9061642315362477,2.586976969772271,2.9414742634847,pass,0,0.8,0.98,1,/app/raw_data/subj01_timepoint02.mp4
26,3.2685852386033485,1.558744918076935,2.054944844614573,2.4353723982578366,pass,0,0.833,0.98,1,/app/raw_data/subj01_timepoint02.mp4
27,4.0567633421673595,1.8193988636417953,2.399663024896124,2.9446883792065575,pass,0,0.867,0.98,1,/app/raw_data/subj01_timepoint02.mp4
28,4.238045737857506,2.4190774811440963,2.5210125453388192,3.217148872663866,pass,0,0.9,0.98,1,/app/raw_data/subj01_timepoint02.mp4
29,4.4231636205856155,1.9302890630724323,2.6689238966132756,3.2131735610382495,pass,0,0.9329999999999999,0.98,1,/app/raw_data/subj01_timepoint02.mp4
30,4.088812100484116,2.103216100496688,2.5487949814481308,3.0799656418444816,pass,0,0.9670000000000001,0.98,1,/app/raw_data/subj01_timepoint02.mp4
31,3.855662024735704,1.8821204332167034,2.5182693572645984,2.9139744477661447,pass,0,1.0,0.98,1,/app/raw_data/subj01_timepoint02.mp4
32,4.016002917885634,1.6189747745089704,2.4636129765427612,2.894977635520341,pass,0,1.033,0.98,1,/app/raw_data/subj01_timepoint02.mp4
33,3.8390873085211226,1.5197157036445113,2.3790849977948376,2.7676729985873982,pass,0,1.067,0.98,1,/app/raw_data/subj01_timepoint02.mp4
34,4.238105191742418,1.6186351197763034,2.441804283140692,2.981518043771843,pass,0,1.1,0.98,1,/app/raw_data/subj01_timepoint02.mp4
35,4.286274422983345,1.8424378227839013,2.582738960606481,3.10520096112764,pass,0,1.133,0.98,1,/app/raw_data/subj01_timepoint02.mp4
36,4.0291053960437395,1.793043239890275,2.28863186383704,2.8910447658328176,pass,0,1.167,0.98,1,/app/raw_data/subj01_timepoint02.mp4
37,4.1257562584089165,1.8729681924605317,2.2003789065508124,2.924903393098888,pass,0,1.2,0.98,1,/app/raw_data/subj01_timepoint02.mp4
38,4.5390103598507805,2.419111343712131,2.434564179090225,3.316580245889908,pass,0,1.2329999999999999,0.98,1,/app/raw_data/subj01_timepoint02.mp4
39,3.85527397588068,2.065738329896427,2.162065110859551,2.849646006404468,pass,0,1.2670000000000001,0.98,1,/app/raw_data/subj01_timepoint02.mp4
40,4.320338394933619,1.7237743674787205,2.302434208393444,2.999799170906485,pass,0,1.3,0.98,1,/app/raw_data/subj01_timepoint02.mp4
41,4.509474617547344,1.676666869235041,2.2119600184382193,3.0384679682728044,pass,0,1.3330000000000002,0.98,1,/app/raw_data/subj01_timepoint02.mp4
42,4.619748710661212,2.015000767180979,2.493797020775553,3.2629355603077848,pass,0,1.367,0.98,1,/app/raw_data/subj01_timepoint02.mp4
43,4.9167955204857545,1.8338547661195572,2.2341530824067153,3.258345078364427,pass,0,1.4,0.98,1,/app/raw_data/subj01_timepoint02.mp4
44,5.027392998431985,1.9449719495967752,2.33056351779904,3.3645992022228413,pass,0,1.433,0.98,1,/app/raw_data/subj01_timepoint02.mp4
45,4.876621112238059,1.7082728377094298,2.0699773181095282,3.1565366839530946,pass,0,1.4669999999999999,0.98,1,/app/raw_data/subj01_timepoint02.mp4
46,5.305813689092514,1.821162974059575,2.461989195009262,3.4907505027943984,pass,0,1.5,0.98,1,/app/raw_data/subj01_timepoint02.mp4
47,5.561773937975334,2.2005450657469123,2.4337729415302323,3.689450235879928,pass,0,1.5330000000000001,0.98,1,/app/raw_data/subj01_timepoint02.mp4
48,4.532524411034337,1.8626281434613243,2.1544959417684137,3.0789637713785156,pass,0,1.567,0.98,1,/app/raw_data/subj01_timepoint02.mp4
49,5.183272496488652,2.0788720695838636,2.379292929823109,3.480857784145641,pass,0,1.6,0.98,1,/app/raw_data/subj01_timepoint02.mp4
50,5.650644270121186,2.1307370394157084,2.6388861651053688,3.7732713867726435,pass,0,1.633,0.98,1,/app/raw_data/subj01_timepoint02.mp4
