fac_AU01int,fac_AU02int,fac_AU04int,fac_AU05int,fac_AU06int,fac_AU07int,fac_AU09int,fac_AU10int,fac_AU12int,fac_AU14int,fac_AU15int,fac_AU17int,fac_AU20int,fac_AU23int,fac_AU25int,fac_AU26int,fac_AU45int,fac_AU01pres,fac_AU02pres,fac_AU04pres,fac_AU05pres,fac_AU06pres,fac_AU07pres,fac_AU09pres,fac_AU10pres,fac_AU12pres,fac_AU14pres,fac_AU15pres,fac_AU17pres,fac_AU20pres,fac_AU23pres,fac_AU25pres,fac_AU26pres,fac_AU28pres,fac_AU45pres,frame,face_id,timestamp,confidence,success,dbm_master_url
0.0,0.0,0.0,0.0,1.05,2.5,0.0,1.17,1.0,0.84,0.0,0.21,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.98,1,/app/raw_data/subj01_timepoint02.mp4
0.0,0.0,0.0,0.0,0.94,2.57,0.0,1.22,0.98,1.03,0.0,0.26,0.0,0.07,0.0,0.37,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.033,0.98,1,/app/raw_data/subj01_timepoint02.mp4
0.0,0.0,0.0,0.03,0.9,2.58,0.0,1.2,0.94,1.11,0.0,0.32,0.0,0.07,0.0,0.24,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.067,0.98,1,/app/raw_data/subj01_timepoint02.mp4
0.0,0.0,0.0,0.03,0.9,2.47,0.0,1.19,0.94,1.1,0.0,0.38,0.0,0.05,0.0,0.19,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0.1,0.98,1,/app/raw_data/subj01_timepoint02.mp4
0.0,0.0,0.0,0.03,0.93,2.42,0.0,1.15,0.92,1.06,0.0,0.46,0.0,0.0,0.01,0.15,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.133,0.98,1,/app/raw_data/subj01_timepoint02.mp4
0.0,0.0,0.0,0.0,0.92,2.32,0.0,1.16,0.95,1.04,0.0,0.48,0.0,0.0,0.01,0.12,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0.16699999999999998,0.98,1,/app/raw_data/subj01_timepoint02.mp4
0.0,0.0,0.0,0.0,0.89,2.33,0.0,1.1,0.95,1.08,0.0,0.51,0.0,0.0,0.04,0.06,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,0.2,0.98,1,/app/raw_data/subj01_timepoint02.mp4
0.0,0.0,0.0,0.0,0.92,2.39,0.0,1.08,0.98,1.09,0.0,0.4,0.0,0.0,0.15,0.04,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,0.233,0.98,1,/app/raw_data/subj01_timepoint02.mp4
0.0,0.0,0.0,0.0,0.92,2.59,0.0,1.05,0.95,1.11,0.0,0.36,0.0,0.0,0.18,0.02,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,0.267,0.98,1,/app/raw_data/subj01_timepoint02.mp4
0.0,0.0,0.0,0.0,0.91,2.72,0.0,1.03,0.92,1.12,0.0,0.31,0.0,0.0,0.2,0.02,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0,0.3,0.98,1,/app/raw_data/subj01_timepoint02.mp4
0.0,0.0,0.0,0.0,0.87,2.69,0.0,1.07,0.89,1.12,0.0,0.29,0.0,0.02,0.14,0.06,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0,0.33299999999999996,0.98,1,/app/raw_data/subj01_timepoint02.mp4
0.0,0.0,0.0,0.0,0.86,2.61,0.0,1.08,0.9,1.1,0.0,0.31,0.06,0.02,0.15,0.13,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,0.36700000000000005,0.98,1,/app/raw_data/subj01_timepoint02.mp4
0.0,0.0,0.0,0.0,0.9,2.42,0.0,1.07,0.9,1.08,0.02,0.35,0.06,0.06,0.1,0.15,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,0.4,0.98,1,/app/raw_data/subj01_timepoint02.mp4
0.0,0.0,0.0,0.0,0.91,2.31,0.0,1.03,0.89,1.03,0.02,0.39,0.06,0.05,0.14,0.23,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0,0.433,0.98,1,/app/raw_data/subj01_timepoint02.mp4
0.0,0.0,0.0,0.0,0.92,2.21,0.0,0.91,0.86,0.94,0.02,0.34,0.0,0.04,0.13,0.28,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0,0.467,0.98,1,/app/raw_data/subj01_timepoint02.mp4
0.0,0.0,0.0,0.0,0.92,2.15,0.02,0.82,0.83,0.81,0.0,0.3,0.0,0.0,0.12,0.48,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0,0.5,0.98,1,/app/raw_data/subj01_timepoint02.mp4
0.0,0.0,0.0,0.0,0.96,2.36,0.06,0.72,0.81,0.78,0.0,0.2,0.0,0.0,0.02,0.52,0.04,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0,0.5329999999999999,0.98,1,/app/raw_data/subj01_timepoint02.mp4
0.0,0.0,0.0,0.0,0.94,2.3,0.06,0.73,0.82,0.9,0.0,0.18,0.0,0.0,0.04,0.49,0.04,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0,0.5670000000000001,0.98,1,/app/raw_data/subj01_timepoint02.mp4
0.0,0.0,0.0,0.0,0.93,2.49,0.05,0.7,0.84,0.98,0.0,0.24,0.0,0.0,0.08,0.45,0.04,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0,0.6,0.98,1,/app/raw_data/subj01_timepoint02.mp4
0.0,0.0,0.0,0.0,0.91,2.37,0.08,0.69,0.85,1.09,0.03,0.28,0.05,0.0,0.12,0.44,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0,0.633,0.98,1,/app/raw_data/subj01_timepoint02.mp4
