mov_hposepitch,mov_hposeyaw,mov_hposeroll,mov_hposedist,error_reason,dbm_master_url
0.174,0.026000000000000002,0.017,,Pass,/app/raw_data/subj02_timepoint01.mp4
0.188,0.025,0.017,0.014035668847618213,Pass,/app/raw_data/subj02_timepoint01.mp4
0.191,0.025,0.018000000000000002,0.003162277660168382,Pass,/app/raw_data/subj02_timepoint01.mp4
0.18899999999999997,0.025,0.019,0.002236067977499815,Pass,/app/raw_data/subj02_timepoint01.mp4
0.185,0.023,0.02,0.00458257569495582,Pass,/app/raw_data/subj02_timepoint01.mp4
0.18100000000000002,0.023,0.021,0.004123105625617637,Pass,/app/raw_data/subj02_timepoint01.mp4
0.18100000000000002,0.024,0.021,0.0010000000000000009,Pass,/app/raw_data/subj02_timepoint01.mp4
0.18,0.024,0.022000000000000002,0.0014142135623731158,Pass,/app/raw_data/subj02_timepoint01.mp4
0.183,0.025,0.021,0.003316624790355403,Pass,/app/raw_data/subj02_timepoint01.mp4
0.18600000000000003,0.024,0.021,0.0031622776601684085,Pass,/app/raw_data/subj02_timepoint01.mp4
0.18100000000000002,0.025,0.021,0.00509901951359279,Pass,/app/raw_data/subj02_timepoint01.mp4
0.18,0.025,0.021,0.0010000000000000286,Pass,/app/raw_data/subj02_timepoint01.mp4
0.183,0.026000000000000002,0.019,0.0037416573867739447,Pass,/app/raw_data/subj02_timepoint01.mp4
0.191,0.027999999999999997,0.018000000000000002,0.00830662386291808,Pass,/app/raw_data/subj02_timepoint01.mp4
0.19,0.027999999999999997,0.018000000000000002,0.0010000000000000009,Pass,/app/raw_data/subj02_timepoint01.mp4
0.193,0.027000000000000003,0.017,0.0033166247903554007,Pass,/app/raw_data/subj02_timepoint01.mp4
0.20600000000000002,0.03,0.015,0.013490737563232052,Pass,/app/raw_data/subj02_timepoint01.mp4
0.209,0.028999999999999998,0.015,0.003162277660168356,Pass,/app/raw_data/subj02_timepoint01.mp4
0.218,0.03,0.013999999999999999,0.009110433579144307,Pass,/app/raw_data/subj02_timepoint01.mp4
0.244,0.040999999999999995,0.012,0.028301943396169805,Pass,/app/raw_data/subj02_timepoint01.mp4
0.239,0.040999999999999995,0.013000000000000001,0.00509901951359279,Pass,/app/raw_data/subj02_timepoint01.mp4
0.257,0.05,0.012,0.020149441679609904,Pass,/app/raw_data/subj02_timepoint01.mp4
0.268,0.055999999999999994,0.011000000000000001,0.01256980508997654,Pass,/app/raw_data/subj02_timepoint01.mp4
0.27899999999999997,0.07200000000000001,0.011000000000000001,0.019416487838947585,Pass,/app/raw_data/subj02_timepoint01.mp4
0.259,0.07,0.015,0.02049390153191916,Pass,/app/raw_data/subj02_timepoint01.mp4
0.27,0.081,0.013999999999999999,0.0155884572681199,Pass,/app/raw_data/subj02_timepoint01.mp4
0.29600000000000004,0.09300000000000001,0.009000000000000001,0.02906888370749729,Pass,/app/raw_data/subj02_timepoint01.mp4
0.29100000000000004,0.092,0.009000000000000001,0.005099019513592792,Pass,/app/raw_data/subj02_timepoint01.mp4
0.28800000000000003,0.091,0.008,0.003316624790355403,Pass,/app/raw_data/subj02_timepoint01.mp4
0.28300000000000003,0.09,0.008,0.00509901951359279,Pass,/app/raw_data/subj02_timepoint01.mp4
0.282,0.08800000000000001,0.008,0.002236067977499804,Pass,/app/raw_data/subj02_timepoint01.mp4
0.28300000000000003,0.08800000000000001,0.009000000000000001,0.0014142135623731356,Pass,/app/raw_data/subj02_timepoint01.mp4
0.27699999999999997,0.086,0.009000000000000001,0.006324555320336821,Pass,/app/raw_data/subj02_timepoint01.mp4
0.273,0.08199999999999999,0.01,0.005744562646537995,Pass,/app/raw_data/subj02_timepoint01.mp4
0.27399999999999997,0.083,0.01,0.0014142135623730668,Pass,/app/raw_data/subj02_timepoint01.mp4
0.268,0.081,0.009000000000000001,0.006403124237432802,Pass,/app/raw_data/subj02_timepoint01.mp4
0.268,0.079,0.01,0.0022360679774997907,Pass,/app/raw_data/subj02_timepoint01.mp4
0.263,0.077,0.009000000000000001,0.005477225575051666,Pass,/app/raw_data/subj02_timepoint01.mp4
0.26,0.07400000000000001,0.008,0.004358898943540668,Pass,/app/raw_data/subj02_timepoint01.mp4
0.261,0.073,0.008,0.001414213562373106,Pass,/app/raw_data/subj02_timepoint01.mp4
0.258,0.07400000000000001,0.006999999999999999,0.0033166247903554068,Pass,/app/raw_data/subj02_timepoint01.mp4
0.254,0.071,0.008,0.005099019513592797,Pass,/app/raw_data/subj02_timepoint01.mp4
0.248,0.066,0.01,0.008062257748298548,Pass,/app/raw_data/subj02_timepoint01.mp4
0.249,0.064,0.009000000000000001,0.0024494897427831796,Pass,/app/raw_data/subj02_timepoint01.mp4
0.24600000000000002,0.065,0.006999999999999999,0.0037416573867739226,Pass,/app/raw_data/subj02_timepoint01.mp4
0.249,0.065,0.006999999999999999,0.002999999999999975,Pass,/app/raw_data/subj02_timepoint01.mp4
0.251,0.064,0.006999999999999999,0.0022360679774997916,Pass,/app/raw_data/subj02_timepoint01.mp4
0.242,0.061,0.008,0.009539392014169465,Pass,/app/raw_data/subj02_timepoint01.mp4
0.25,0.061,0.006,0.008246211251235327,Pass,/app/raw_data/subj02_timepoint01.mp4
0.247,0.059000000000000004,0.006,0.0036055512754639887,Pass,/app/raw_data/subj02_timepoint01.mp4
0.245,0.059000000000000004,0.005,0.002236067977499791,Pass,/app/raw_data/subj02_timepoint01.mp4
0.247,0.055999999999999994,0.004,0.00374165738677395,Pass,/app/raw_data/subj02_timepoint01.mp4
0.251,0.055,0.001,0.005099019513592786,Pass,/app/raw_data/subj02_timepoint01.mp4
0.251,0.054000000000000006,0.001,0.000999999999999994,Pass,/app/raw_data/subj02_timepoint01.mp4
0.242,0.051,0.002,0.009539392014169467,Pass,/app/raw_data/subj02_timepoint01.mp4
0.242,0.05,0.003,0.0014142135623730907,Pass,/app/raw_data/subj02_timepoint01.mp4
0.242,0.05,0.003,0.0,Pass,/app/raw_data/subj02_timepoint01.mp4
0.24,0.048,0.003,0.0028284271247461927,Pass,/app/raw_data/subj02_timepoint01.mp4
0.237,0.047,0.004,0.0033166247903554024,Pass,/app/raw_data/subj02_timepoint01.mp4
0.239,0.045,0.003,0.0030000000000000022,Pass,/app/raw_data/subj02_timepoint01.mp4
0.23199999999999998,0.044000000000000004,0.004,0.007141428428542855,Pass,/app/raw_data/subj02_timepoint01.mp4
0.228,0.044000000000000004,0.004,0.003999999999999976,Pass,/app/raw_data/subj02_timepoint01.mp4
0.22699999999999998,0.043,0.004,0.0014142135623731208,Pass,/app/raw_data/subj02_timepoint01.mp4
0.225,0.04,0.003,0.003741657386773924,Pass,/app/raw_data/subj02_timepoint01.mp4
0.22899999999999998,0.039,0.004,0.004242640687119262,Pass,/app/raw_data/subj02_timepoint01.mp4
0.23,0.037000000000000005,0.004,0.0022360679774997977,Pass,/app/raw_data/subj02_timepoint01.mp4
0.22699999999999998,0.037000000000000005,0.005,0.003162277660168408,Pass,/app/raw_data/subj02_timepoint01.mp4
0.21899999999999997,0.036000000000000004,0.004,0.008124038404635967,Pass,/app/raw_data/subj02_timepoint01.mp4
0.217,0.038,0.004,0.002828427124746168,Pass,/app/raw_data/subj02_timepoint01.mp4
0.215,0.036000000000000004,0.005,0.002999999999999998,Pass,/app/raw_data/subj02_timepoint01.mp4
0.213,0.036000000000000004,0.006999999999999999,0.002828427124746191,Pass,/app/raw_data/subj02_timepoint01.mp4
0.21,0.037000000000000005,0.006999999999999999,0.003162277660168382,Pass,/app/raw_data/subj02_timepoint01.mp4
0.205,0.037000000000000005,0.008,0.00509901951359279,Pass,/app/raw_data/subj02_timepoint01.mp4
0.201,0.037000000000000005,0.008,0.003999999999999976,Pass,/app/raw_data/subj02_timepoint01.mp4
0.201,0.036000000000000004,0.009000000000000001,0.0014142135623730963,Pass,/app/raw_data/subj02_timepoint01.mp4
0.2,0.036000000000000004,0.01,0.001414213562373095,Pass,/app/raw_data/subj02_timepoint01.mp4
0.198,0.035,0.011000000000000001,0.0024494897427831805,Pass,/app/raw_data/subj02_timepoint01.mp4
0.198,0.034,0.012,0.001414213562373095,Pass,/app/raw_data/subj02_timepoint01.mp4
0.19399999999999998,0.034,0.012,0.004000000000000031,Pass,/app/raw_data/subj02_timepoint01.mp4
0.19399999999999998,0.033,0.011000000000000001,0.001414213562373095,Pass,/app/raw_data/subj02_timepoint01.mp4
0.191,0.032,0.011000000000000001,0.003162277660168356,Pass,/app/raw_data/subj02_timepoint01.mp4
0.188,0.031,0.012,0.0033166247903554024,Pass,/app/raw_data/subj02_timepoint01.mp4
0.188,0.031,0.011000000000000001,0.0009999999999999992,Pass,/app/raw_data/subj02_timepoint01.mp4
0.187,0.03,0.012,0.0017320508075688778,Pass,/app/raw_data/subj02_timepoint01.mp4
0.18600000000000003,0.028999999999999998,0.011000000000000001,0.0017320508075688618,Pass,/app/raw_data/subj02_timepoint01.mp4
0.19,0.03,0.01,0.004242640687119263,Pass,/app/raw_data/subj02_timepoint01.mp4
0.18899999999999997,0.028999999999999998,0.01,0.0014142135623731158,Pass,/app/raw_data/subj02_timepoint01.mp4
0.183,0.027000000000000003,0.011000000000000001,0.0064031242374328265,Pass,/app/raw_data/subj02_timepoint01.mp4
0.177,0.025,0.013000000000000001,0.006633249580710805,Pass,/app/raw_data/subj02_timepoint01.mp4
0.17600000000000002,0.026000000000000002,0.013000000000000001,0.0014142135623730766,Pass,/app/raw_data/subj02_timepoint01.mp4
0.175,0.025,0.012,0.001732050807568895,Pass,/app/raw_data/subj02_timepoint01.mp4
