frame,fac_asymmaskmouth,fac_asymmaskeyebrow,fac_asymmaskeye,fac_asymmaskcom,error_reason,face_id,timestamp,confidence,success,dbm_master_url
1,1.8648514989841862,1.8180502609147442,0.6178824112175133,1.4587556717764363,pass,0,0.0,0.98,1,/app/raw_data/subj02_timepoint02.mp4
2,2.453840667022771,1.569987566950839,0.6033140712600685,1.636870926236672,pass,0,0.033,0.98,1,/app/raw_data/subj02_timepoint02.mp4
3,2.3554232349598454,1.6925937284696186,0.6490514925883991,1.6421401830293292,pass,0,0.067,0.98,1,/app/raw_data/subj02_timepoint02.mp4
4,2.2689957017457365,1.4606824359888169,0.6307200531752205,1.5389314796295421,pass,0,0.1,0.98,1,/app/raw_data/subj02_timepoint02.mp4
5,2.2206988978837954,1.4528033574299513,0.6802928249460414,1.5321771010471772,pass,0,0.133,0.98,1,/app/raw_data/subj02_timepoint02.mp4
6,2.9155347431147307,1.9081784365721408,0.8264664953226109,1.9907352157744327,pass,0,0.16699999999999998,0.98,1,/app/raw_data/subj02_timepoint02.mp4
7,2.8781494716503846,1.8866829231569422,0.29696757356580833,1.8021271489675077,pass,0,0.2,0.98,1,/app/raw_data/subj02_timepoint02.mp4
8,3.3637851765416675,1.5558984284003081,0.7744977864873657,2.0703558038557413,pass,0,0.233,0.98,1,/app/raw_data/subj02_timepoint02.mp4
9,3.354438313260924,1.8415167238407328,0.9624287761034308,2.200929620100613,pass,0,0.267,0.98,1,/app/raw_data/subj02_timepoint02.mp4
10,3.068902004872768,1.8285720452704974,0.8330295293108847,2.036434391642102,pass,0,0.3,0.98,1,/app/raw_data/subj02_timepoint02.mp4
11,2.167484729284901,1.2390801158428353,0.5068166218450947,1.398746218134945,pass,0,0.33299999999999996,0.98,1,/app/raw_data/subj02_timepoint02.mp4
12,2.0859935431529846,1.360364729301215,0.5912472157004522,1.4230134361017193,pass,0,0.36700000000000005,0.98,1,/app/raw_data/subj02_timepoint02.mp4
13,2.4092146821429656,1.4973018937547438,0.6761152034426358,1.621943060345961,pass,0,0.4,0.98,1,/app/raw_data/subj02_timepoint02.mp4
14,2.3451932659550536,1.5930954267737751,0.8025235863585513,1.660113935771611,pass,0,0.433,0.98,1,/app/raw_data/subj02_timepoint02.mp4
15,1.9001446325902691,1.487239732515319,0.7060754635780729,1.414410973935115,pass,0,0.467,0.98,1,/app/raw_data/subj02_timepoint02.mp4
16,2.1966896004590417,1.6190133050746642,0.7714842136880221,1.5946046637459885,pass,0,0.5,0.98,1,/app/raw_data/subj02_timepoint02.mp4
17,2.1359878881124197,1.4964785905968891,0.7519436419150877,1.5306293636512804,pass,0,0.5329999999999999,0.98,1,/app/raw_data/subj02_timepoint02.mp4
18,2.5663195277615323,1.685947618014382,1.036215283192586,1.851451895332615,pass,0,0.5670000000000001,0.98,1,/app/raw_data/subj02_timepoint02.mp4
19,2.845795841466561,1.8113052992288257,1.1786108877375285,2.047082029173778,pass,0,0.6,0.98,1,/app/raw_data/subj02_timepoint02.mp4
20,2.4742111343202247,1.6291164011372856,0.9373830752772165,1.7665036595742905,pass,0,0.633,0.98,1,/app/raw_data/subj02_timepoint02.mp4
21,2.3107296120489798,1.5232027113218507,0.8424797268714525,1.6398278323278845,pass,0,0.667,0.98,1,/app/raw_data/subj02_timepoint02.mp4
22,2.4982708084592096,1.5878897061371913,0.908870930174562,1.7567810831266844,pass,0,0.7,0.98,1,/app/raw_data/subj02_timepoint02.mp4
23,2.5683315844871912,1.772087684514906,1.0459513837146368,1.8780420737242043,pass,0,0.733,0.98,1,/app/raw_data/subj02_timepoint02.mp4
24,2.324244011690163,1.6703526047501456,0.9282623938825627,1.7113310252930212,pass,0,0.767,0.98,1,/app/raw_data/subj02_timepoint02.mp4
25,2.773955370212007,1.511079253876024,0.9503745475636401,1.865751921918843,pass,0,0.8,0.98,1,/app/raw_data/subj02_timepoint02.mp4
26,2.293488957743722,1.3988168177394187,0.9119522346513134,1.6217741662397238,pass,0,0.833,0.98,1,/app/raw_data/subj02_timepoint02.mp4
27,2.354942013190322,1.3373000080745645,0.7584793524228526,1.5829953821280272,pass,0,0.867,0.98,1,/app/raw_data/subj02_timepoint02.mp4
28,2.415177043636008,1.3765879402684102,0.7248104307632944,1.6080641386847305,pass,0,0.9,0.98,1,/app/raw_data/subj02_timepoint02.mp4
29,1.923637452120805,1.3756433025023158,0.5925800562475351,1.3590945508928016,pass,0,0.9329999999999999,0.98,1,/app/raw_data/subj02_timepoint02.mp4
30,2.0753303559427922,1.309005329087356,0.70235984572001,1.4400962403841673,pass,0,0.9670000000000001,0.98,1,/app/raw_data/subj02_timepoint02.mp4
31,2.1262979058044866,1.345704051477525,0.6839448398799949,1.4653985549001836,pass,0,1.0,0.98,1,/app/raw_data/subj02_timepoint02.mp4
32,2.0823611097949515,1.2084960305813615,0.5526303566077576,1.3693237458375247,pass,0,1.033,0.98,1,/app/raw_data/subj02_timepoint02.mp4
33,3.0589240678154743,1.7063157837019254,1.0859551769190918,2.0799317117130514,pass,0,1.067,0.98,1,/app/raw_data/subj02_timepoint02.mp4
34,2.491723200820501,1.4199905106867585,0.6252624872965721,1.6202796359882754,pass,0,1.1,0.98,1,/app/raw_data/subj02_timepoint02.mp4
35,3.3845100473401475,2.06055221130548,0.9047982272813272,2.2530331999440287,pass,0,1.133,0.98,1,/app/raw_data/subj02_timepoint02.mp4
36,2.8948783031971255,1.8112660576712762,0.7314822560211484,1.9265394868452776,pass,0,1.167,0.98,1,/app/raw_data/subj02_timepoint02.mp4
37,2.5934754085353475,1.5984470747493655,0.6851766326184915,1.7290051809337132,pass,0,1.2,0.98,1,/app/raw_data/subj02_timepoint02.mp4
38,2.976857094993475,2.0098530397476093,0.9480321814860485,2.0817007919790598,pass,0,1.2329999999999999,0.98,1,/app/raw_data/subj02_timepoint02.mp4
39,3.2303891304900976,2.0599363388635537,0.8832747367386401,2.181181218877389,pass,0,1.2670000000000001,0.98,1,/app/raw_data/subj02_timepoint02.mp4
40,4.025674137140081,2.315929017743334,1.3446588720223513,2.7291048114721796,pass,0,1.3,0.98,1,/app/raw_data/subj02_timepoint02.mp4
41,4.042208657214639,2.5640008770437785,1.3942301200280296,2.817002861216009,pass,0,1.3330000000000002,0.98,1,/app/raw_data/subj02_timepoint02.mp4
42,4.855944880817489,3.1630493945061335,1.8992078112883022,3.4767396256210734,pass,0,1.367,0.98,1,/app/raw_data/subj02_timepoint02.mp4
43,4.218335116313223,2.8792125575168543,1.5455724623797762,3.0219041311773007,pass,0,1.4,0.98,1,/app/raw_data/subj02_timepoint02.mp4
44,3.3042634541732006,2.3215734142035105,1.1588663557394552,2.3681669915178887,pass,0,1.433,0.98,1,/app/raw_data/subj02_timepoint02.mp4
45,2.6283671867776324,1.9560305555887687,0.981458767704039,1.9313601514941647,pass,0,1.4669999999999999,0.98,1,/app/raw_data/subj02_timepoint02.mp4
46,2.413773467511529,1.8582045991644354,0.8763600020821039,1.7820721446530017,pass,0,1.5,0.98,1,/app/raw_data/subj02_timepoint02.mp4
47,3.204250552082041,1.9360566105895594,0.9861909771598559,2.170075438555961,pass,0,1.5330000000000001,0.98,1,/app/raw_data/subj02_timepoint02.mp4
48,2.7409069649277433,1.764623357702821,0.7508612938058686,1.855554751093224,pass,0,1.567,0.98,1,/app/raw_data/subj02_timepoint02.mp4
49,3.181228937163464,1.963860048774118,1.0059075234376784,2.1739250990423353,pass,0,1.6,0.98,1,/app/raw_data/subj02_timepoint02.mp4
50,4.41552638536484,2.2692632535392065,1.4779875027706222,2.923076440380973,pass,0,1.633,0.98,1,/app/raw_data/subj02_timepoint02.mp4
51,3.179899010820516,2.4385753876690694,1.4439926508130656,2.436632891041467,pass,0,1.6669999999999998,0.98,1,/app/raw_data/subj02_timepoint02.mp4
52,2.9630524786454306,2.34409396423203,1.324946883684808,2.2828721553911815,pass,0,1.7,0.98,1,/app/raw_data/subj02_timepoint02.mp4
53,2.858974545850513,2.209682783257713,1.3584663450027434,2.2142635975320593,pass,0,1.733,0.98,1,/app/raw_data/subj02_timepoint02.mp4
54,2.6593904889488167,2.095706769709004,1.2818298697134498,2.076033525179803,pass,0,1.767,0.98,1,/app/raw_data/subj02_timepoint02.mp4
55,2.4158111548993793,2.0010686290674844,1.2860883968587735,1.9499138297729004,pass,0,1.8,0.98,1,/app/raw_data/subj02_timepoint02.mp4
56,2.8479807815687233,2.1429021264041763,1.3966139541036238,2.2041074004838115,pass,0,1.8330000000000002,0.98,1,/app/raw_data/subj02_timepoint02.mp4
57,2.3571547798769084,1.7308559917381543,0.93152085828368,1.7421391235477959,pass,0,1.867,0.98,1,/app/raw_data/subj02_timepoint02.mp4
58,2.3418038614747383,1.5218875599012538,0.9688064540314135,1.692458285025929,pass,0,1.9,0.98,1,/app/raw_data/subj02_timepoint02.mp4
59,2.2877494137744367,1.4709456930887346,0.9079835924359697,1.6370855436976304,pass,0,1.933,0.98,1,/app/raw_data/subj02_timepoint02.mp4
60,2.319903216332964,1.2943133994654015,0.9458395293564706,1.6160963107436601,pass,0,1.9669999999999999,0.98,1,/app/raw_data/subj02_timepoint02.mp4
