frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c, AU09_c, AU23_r,s_confidence,fac_hapintsoft,fac_sadintsoft,fac_surintsoft,fac_feaintsoft,fac_angintsoft,fac_disintsoft,fac_conintsoft,fac_negintsoft,fac_posintsoft,neu_exp,cai_exp,fac_comintsoft,fac_happres,fac_sadpres,fac_surpres,fac_feapres,fac_angpres,fac_dispres,fac_conpres,fac_hapinthard,fac_sadinthard,fac_surinthard,fac_feainthard,fac_anginthard,fac_disinthard,fac_coninthard,fac_neginthard,fac_posinthard,neu_exp_full,cai_exp_full,fac_cominthard,fac_happsuprinthard,fac_happsuprintsoft,error_reason,dbm_master_url
11,0,0.33299999999999996,0.98,1,0.5,0.03,1.57,0.0,0.0,1.79,0.0,0.0,0.0,0.0,0.07,0.14,0.37,0.06,0.23,0.04,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.9800000000000001,0,0.17250000000000001,0.08333333333333333,0.21444444444444447,0.28,0,0,0.13338888888888892,0,0.08333333333333333,0.4708333333333333,0.10718253968253968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.08333333333333333,Pass,/app/raw_data/subj01_timepoint01.mp4
12,0,0.36700000000000005,0.98,1,0.51,0.0,1.55,0.0,0.0,1.82,0.0,0.0,0.0,0.0,0.13,0.2,0.33,0.11,0.26,0.06,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.9800000000000001,0,0.17166666666666666,0.085,0.21555555555555556,0.2808333333333333,0,0,0.13361111111111112,0,0.085,0.475,0.10757936507936508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.085,Pass,/app/raw_data/subj01_timepoint01.mp4
13,0,0.4,0.98,1,0.56,0.03,1.55,0.0,0.0,1.71,0.0,0.0,0.0,0.0,0.13,0.22,0.31,0.13,0.24,0.04,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.9800000000000001,0,0.17583333333333337,0.09333333333333334,0.21222222222222223,0.27166666666666667,0,0,0.13194444444444448,0,0.09333333333333334,0.4608333333333333,0.10757936507936508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.09333333333333334,Pass,/app/raw_data/subj01_timepoint01.mp4
14,0,0.433,0.98,1,0.58,0.11,1.51,0.0,0.0,1.64,0.0,0.0,0.0,0.0,0.09,0.2,0.35,0.11,0.22,0.02,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.9800000000000001,0,0.17416666666666666,0.09666666666666666,0.2072222222222222,0.2625,0,0,0.1287777777777778,0,0.09666666666666666,0.4475,0.10579365079365079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.09666666666666666,Pass,/app/raw_data/subj01_timepoint01.mp4
15,0,0.467,0.98,1,0.56,0.23,1.57,0.0,0.0,1.57,0.02,0.0,0.0,0.0,0.05,0.18,0.33,0.07,0.16,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.9800000000000001,0,0.1775,0.09333333333333334,0.20555555555555557,0.26166666666666666,0,0,0.12894444444444444,0,0.09333333333333334,0.43916666666666665,0.10543650793650793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.09333333333333334,Pass,/app/raw_data/subj01_timepoint01.mp4
16,0,0.5,0.98,1,0.54,0.26,1.58,0.08,0.0,1.51,0.02,0.0,0.0,0.0,0.02,0.2,0.31,0.07,0.1,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.9800000000000001,0,0.17666666666666667,0.09000000000000001,0.20166666666666666,0.2575,0,0,0.12716666666666665,0,0.09000000000000001,0.42833333333333334,0.1036904761904762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.09000000000000001,Pass,/app/raw_data/subj01_timepoint01.mp4
17,0,0.5329999999999999,0.98,1,0.53,0.28,1.6,0.2,0.0,1.43,0.03,0.0,0.0,0.0,0.03,0.18,0.21,0.06,0.05,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.9800000000000001,0,0.1775,0.08833333333333333,0.19777777777777775,0.2525,0,0,0.12555555555555556,0,0.08833333333333333,0.4158333333333333,0.10230158730158731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.08833333333333333,Pass,/app/raw_data/subj01_timepoint01.mp4
18,0,0.5670000000000001,0.98,1,0.48,0.19,1.58,0.2,0.0,1.59,0.01,0.0,0.0,0.0,0.02,0.16,0.16,0.07,0.02,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.9800000000000001,0,0.17166666666666666,0.08,0.2027777777777778,0.26416666666666666,0,0,0.12772222222222224,0,0.08,0.43666666666666665,0.10265873015873016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.08,Pass,/app/raw_data/subj01_timepoint01.mp4
19,0,0.6,0.98,1,0.4,0.12,1.57,0.11,0.0,1.77,0.01,0.0,0.0,0.0,0.02,0.14,0.1,0.06,0.05,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.9800000000000001,0,0.16416666666666668,0.06666666666666667,0.20777777777777778,0.2783333333333333,0,0,0.13005555555555554,0,0.06666666666666667,0.45916666666666667,0.10242063492063491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.06666666666666667,Pass,/app/raw_data/subj01_timepoint01.mp4
20,0,0.633,0.98,1,0.34,0.06,1.55,0.0,0.0,1.89,0.0,0.0,0.0,0.0,0.01,0.12,0.13,0.09,0.09,0.01,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9800000000000001,0,0.1575,0.05666666666666667,0.21000000000000002,0.2866666666666667,0,0,0.13083333333333336,0,0.05666666666666667,0.47250000000000003,0.10154761904761907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.05666666666666667,Pass,/app/raw_data/subj01_timepoint01.mp4
