frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c, AU09_c, AU23_r,s_confidence,fac_hapintsoft,fac_sadintsoft,fac_surintsoft,fac_feaintsoft,fac_angintsoft,fac_disintsoft,fac_conintsoft,fac_negintsoft,fac_posintsoft,neu_exp,cai_exp,fac_comintsoft,fac_happres,fac_sadpres,fac_surpres,fac_feapres,fac_angpres,fac_dispres,fac_conpres,fac_hapinthard,fac_sadinthard,fac_surinthard,fac_feainthard,fac_anginthard,fac_disinthard,fac_coninthard,fac_neginthard,fac_posinthard,neu_exp_full,cai_exp_full,fac_cominthard,fac_happsuprinthard,fac_happsuprintsoft,error_reason,dbm_master_url
1,0,0.0,0.98,1,0.0,0.8,1.13,0.17,0.0,1.25,0.0,0.01,0.0,0.09,0.03,0.13,0.46,0.16,0.04,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9800000000000001,0,0.18833333333333332,0.08083333333333334,0.13958333333333334,0.14166666666666666,0,0,0.09391666666666666,0,0.08083333333333334,0.47750000000000004,0.07863095238095238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.13333333333333333,Pass,/app/raw_data/subj02_timepoint01.mp4
2,0,0.033,0.98,1,0.0,0.34,0.99,0.06,0.0,1.2,0.0,0.03,0.0,0.03,0.1,0.08,0.26,0.11,0.06,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.9800000000000001,0,0.0,0.01,0.105,0.105,0,0,0.041999999999999996,0,0.01,0.21,0.031428571428571424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,Pass,/app/raw_data/subj02_timepoint01.mp4
3,0,0.067,0.98,1,0.0,0.1,0.91,0.0,0.0,1.27,0.0,0.03,0.0,0.0,0.09,0.07,0.21,0.05,0.04,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.9800000000000001,0,0.15166666666666667,0.0,0.12111111111111111,0.12111111111111111,0,0,0.07877777777777778,0,0.0,0.36333333333333334,0.05626984126984127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,Pass,/app/raw_data/subj02_timepoint01.mp4
4,0,0.1,0.98,1,0.0,0.08,0.96,0.02,0.0,1.19,0.0,0.03,0.0,0.0,0.09,0.09,0.25,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.9800000000000001,0,0.16,0.0033333333333333335,0.12055555555555555,0.12055555555555555,0,0,0.08022222222222222,0,0.0033333333333333335,0.3616666666666667,0.05777777777777777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,Pass,/app/raw_data/subj02_timepoint01.mp4
5,0,0.133,0.98,1,0.0,0.06,1.01,0.02,0.0,1.24,0.01,0.0,0.0,0.0,0.0,0.08,0.21,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.9800000000000001,0,0.16833333333333333,0.0033333333333333335,0.12611111111111112,0.12611111111111112,0,0,0.08411111111111111,0,0.0033333333333333335,0.3783333333333333,0.060555555555555564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,Pass,/app/raw_data/subj02_timepoint01.mp4
6,0,0.16699999999999998,0.98,1,0.0,0.03,1.08,0.02,0.0,1.07,0.04,0.0,0.0,0.0,0.0,0.05,0.13,0.05,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.9800000000000001,0,0.18000000000000002,0.0033333333333333335,0.12055555555555555,0.12055555555555555,0,0,0.08422222222222223,0,0.0033333333333333335,0.3616666666666667,0.06063492063492063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,Pass,/app/raw_data/subj02_timepoint01.mp4
7,0,0.2,0.98,1,0.0,0.03,1.13,0.0,0.0,1.12,0.06,0.0,0.0,0.0,0.0,0.03,0.04,0.11,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.9800000000000001,0,0.18833333333333332,0.0,0.125,0.125,0,0,0.08766666666666667,0,0.0,0.375,0.06261904761904762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,Pass,/app/raw_data/subj02_timepoint01.mp4
8,0,0.233,0.98,1,0.0,0.03,1.2,0.0,0.0,1.08,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.23,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.9800000000000001,0,0.19999999999999998,0.0,0.12666666666666668,0.12666666666666668,0,0,0.09066666666666667,0,0.0,0.38,0.06476190476190477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,Pass,/app/raw_data/subj02_timepoint01.mp4
9,0,0.267,0.98,1,0.0,0.03,1.24,0.0,0.0,1.09,0.04,0.0,0.0,0.0,0.05,0.01,0.14,0.24,0.02,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.9800000000000001,0,0.20666666666666667,0.0,0.12944444444444445,0.12944444444444445,0,0,0.09311111111111112,0,0.0,0.3883333333333333,0.06650793650793652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,Pass,/app/raw_data/subj02_timepoint01.mp4
10,0,0.3,0.98,1,0.0,0.01,1.2,0.0,0.0,1.07,0.05,0.0,0.0,0.0,0.11,0.05,0.23,0.18,0.05,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.9800000000000001,0,0.19999999999999998,0.0,0.12611111111111112,0.12611111111111112,0,0,0.09044444444444445,0,0.0,0.3783333333333333,0.0646031746031746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,Pass,/app/raw_data/subj02_timepoint01.mp4
