aco_hnr,Frames,dbm_master_url,error_reason
,0,/app/raw_data/subj01_timepoint01.mp4,Pass
,1,/app/raw_data/subj01_timepoint01.mp4,Pass
,2,/app/raw_data/subj01_timepoint01.mp4,Pass
,3,/app/raw_data/subj01_timepoint01.mp4,Pass
,4,/app/raw_data/subj01_timepoint01.mp4,Pass
,5,/app/raw_data/subj01_timepoint01.mp4,Pass
,6,/app/raw_data/subj01_timepoint01.mp4,Pass
,7,/app/raw_data/subj01_timepoint01.mp4,Pass
,8,/app/raw_data/subj01_timepoint01.mp4,Pass
,9,/app/raw_data/subj01_timepoint01.mp4,Pass
-16.586347663537893,10,/app/raw_data/subj01_timepoint01.mp4,Pass
-10.972198046920186,11,/app/raw_data/subj01_timepoint01.mp4,Pass
-8.771022640592303,12,/app/raw_data/subj01_timepoint01.mp4,Pass
-7.59807576051174,13,/app/raw_data/subj01_timepoint01.mp4,Pass
-6.599491490770665,14,/app/raw_data/subj01_timepoint01.mp4,Pass
-4.587474433981784,15,/app/raw_data/subj01_timepoint01.mp4,Pass
,16,/app/raw_data/subj01_timepoint01.mp4,Pass
,17,/app/raw_data/subj01_timepoint01.mp4,Pass
,18,/app/raw_data/subj01_timepoint01.mp4,Pass
3.426389231953013,19,/app/raw_data/subj01_timepoint01.mp4,Pass
-2.8081081920913102,20,/app/raw_data/subj01_timepoint01.mp4,Pass
-9.842626245845478,21,/app/raw_data/subj01_timepoint01.mp4,Pass
-5.378380661175002,22,/app/raw_data/subj01_timepoint01.mp4,Pass
-1.0549350735709306,23,/app/raw_data/subj01_timepoint01.mp4,Pass
-0.019036401903826994,24,/app/raw_data/subj01_timepoint01.mp4,Pass
-2.228185226334629,25,/app/raw_data/subj01_timepoint01.mp4,Pass
-8.19667952750017,26,/app/raw_data/subj01_timepoint01.mp4,Pass
-10.122875985629886,27,/app/raw_data/subj01_timepoint01.mp4,Pass
-7.0194810657776205,28,/app/raw_data/subj01_timepoint01.mp4,Pass
-3.7653790471989557,29,/app/raw_data/subj01_timepoint01.mp4,Pass
-1.6482436727975815,30,/app/raw_data/subj01_timepoint01.mp4,Pass
-0.5575088661802245,31,/app/raw_data/subj01_timepoint01.mp4,Pass
-1.0225508595619905,32,/app/raw_data/subj01_timepoint01.mp4,Pass
-3.2188466084815346,33,/app/raw_data/subj01_timepoint01.mp4,Pass
-5.842099507659516,34,/app/raw_data/subj01_timepoint01.mp4,Pass
-10.939065215454896,35,/app/raw_data/subj01_timepoint01.mp4,Pass
1.4875227298631497,36,/app/raw_data/subj01_timepoint01.mp4,Pass
-1.6279918639657303,37,/app/raw_data/subj01_timepoint01.mp4,Pass
-4.617312625191818,38,/app/raw_data/subj01_timepoint01.mp4,Pass
-6.986351445411248,39,/app/raw_data/subj01_timepoint01.mp4,Pass
-7.127124966616122,40,/app/raw_data/subj01_timepoint01.mp4,Pass
-6.547386869094909,41,/app/raw_data/subj01_timepoint01.mp4,Pass
-6.841521902870063,42,/app/raw_data/subj01_timepoint01.mp4,Pass
-9.104129603791382,43,/app/raw_data/subj01_timepoint01.mp4,Pass
-5.532113912166041,44,/app/raw_data/subj01_timepoint01.mp4,Pass
-4.428105554074083,45,/app/raw_data/subj01_timepoint01.mp4,Pass
-4.557683632726705,46,/app/raw_data/subj01_timepoint01.mp4,Pass
-7.115815859334202,47,/app/raw_data/subj01_timepoint01.mp4,Pass
-7.050089433915689,48,/app/raw_data/subj01_timepoint01.mp4,Pass
-9.217123972625574,49,/app/raw_data/subj01_timepoint01.mp4,Pass
-7.415916254215597,50,/app/raw_data/subj01_timepoint01.mp4,Pass
-7.761075258248614,51,/app/raw_data/subj01_timepoint01.mp4,Pass
-7.636442750653809,52,/app/raw_data/subj01_timepoint01.mp4,Pass
-5.486492154044384,53,/app/raw_data/subj01_timepoint01.mp4,Pass
-3.831341015122666,54,/app/raw_data/subj01_timepoint01.mp4,Pass
-0.3799435086317975,55,/app/raw_data/subj01_timepoint01.mp4,Pass
2.0828618964000665,56,/app/raw_data/subj01_timepoint01.mp4,Pass
2.3538993259545764,57,/app/raw_data/subj01_timepoint01.mp4,Pass
0.9942868916374393,58,/app/raw_data/subj01_timepoint01.mp4,Pass
-1.8910033059159268,59,/app/raw_data/subj01_timepoint01.mp4,Pass
-3.9614780467193156,60,/app/raw_data/subj01_timepoint01.mp4,Pass
-2.86870370025144,61,/app/raw_data/subj01_timepoint01.mp4,Pass
-0.854344885322595,62,/app/raw_data/subj01_timepoint01.mp4,Pass
3.689584182064156,63,/app/raw_data/subj01_timepoint01.mp4,Pass
