frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c, AU09_c, AU23_r,s_confidence,fac_hapintsoft,fac_sadintsoft,fac_surintsoft,fac_feaintsoft,fac_angintsoft,fac_disintsoft,fac_conintsoft,fac_negintsoft,fac_posintsoft,neu_exp,cai_exp,fac_comintsoft,fac_happres,fac_sadpres,fac_surpres,fac_feapres,fac_angpres,fac_dispres,fac_conpres,fac_hapinthard,fac_sadinthard,fac_surinthard,fac_feainthard,fac_anginthard,fac_disinthard,fac_coninthard,fac_neginthard,fac_posinthard,neu_exp_full,cai_exp_full,fac_cominthard,fac_happsuprinthard,fac_happsuprintsoft,error_reason,dbm_master_url
1,0,0.0,0.98,1,0.0,0.0,0.0,0.0,1.05,2.5,0.0,1.17,1.0,0.84,0.0,0.21,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9800000000000001,0.1708333333333333,0.0,0.0,0.4166666666666667,0.4166666666666667,0.0,0.15333333333333332,0.19733333333333333,0.1708333333333333,0.0,0.7408333333333333,0.16535714285714284,1,0,0,0,0,0,1,0.1708333333333333,0,0,0,0,0,0.15333333333333332,0.030666666666666665,0.1708333333333333,0,0.3241666666666666,0.0463095238095238,0,0.16666666666666666,Pass,/app/raw_data/subj01_timepoint02.mp4
2,0,0.033,0.98,1,0.0,0.0,0.0,0.0,0.94,2.57,0.0,1.22,0.98,1.03,0.0,0.26,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.9800000000000001,0.16,0.0,0.0,0.4283333333333333,0.4283333333333333,0.0,0.16749999999999998,0.20483333333333328,0.16,0.0,0.7558333333333332,0.16916666666666666,1,0,0,0,0,0,1,0.16,0,0,0,0,0,0.16749999999999998,0.033499999999999995,0.16,0,0.3275,0.046785714285714285,0,0.16333333333333333,Pass,/app/raw_data/subj01_timepoint02.mp4
3,0,0.067,0.98,1,0.0,0.0,0.0,0.03,0.9,2.58,0.0,1.2,0.94,1.11,0.0,0.32,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.9800000000000001,0.15333333333333332,0.0,0.0,0.43,0.43,0.0,0.1708333333333333,0.20616666666666666,0.15333333333333332,0.0,0.7541666666666665,0.16916666666666666,1,0,0,0,0,0,1,0.15333333333333332,0,0,0,0,0,0.1708333333333333,0.034166666666666665,0.15333333333333332,0,0.3241666666666666,0.0463095238095238,0,0.15666666666666665,Pass,/app/raw_data/subj01_timepoint02.mp4
4,0,0.1,0.98,1,0.0,0.0,0.0,0.03,0.9,2.47,0.0,1.19,0.94,1.1,0.0,0.38,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.9800000000000001,0.15333333333333332,0.0,0.0,0.4116666666666667,0.4116666666666667,0.0,0.17,0.19866666666666669,0.15333333333333332,0.0,0.735,0.1638095238095238,1,0,0,0,0,0,1,0.15333333333333332,0,0,0,0,0,0.17,0.034,0.15333333333333332,0,0.32333333333333336,0.04619047619047619,0,0.15666666666666665,Pass,/app/raw_data/subj01_timepoint02.mp4
5,0,0.133,0.98,1,0.0,0.0,0.0,0.03,0.93,2.42,0.0,1.15,0.92,1.06,0.0,0.46,0.0,0.01,0.15,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9800000000000001,0.15416666666666667,0.0,0.0,0.4033333333333333,0.4033333333333333,0.0,0.165,0.19433333333333333,0.15416666666666667,0.0,0.7225,0.16083333333333333,1,0,0,0,0,0,1,0.15416666666666667,0,0,0,0,0,0.165,0.033,0.15416666666666667,0,0.3191666666666667,0.0455952380952381,0,0.15333333333333335,Pass,/app/raw_data/subj01_timepoint02.mp4
6,0,0.16699999999999998,0.98,1,0.0,0.0,0.0,0.0,0.92,2.32,0.0,1.16,0.95,1.04,0.0,0.48,0.0,0.01,0.12,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9800000000000001,0.15583333333333335,0.0,0.0,0.38666666666666666,0.38666666666666666,0.0,0.16583333333333333,0.18783333333333335,0.15583333333333335,0.0,0.7083333333333333,0.15642857142857142,1,0,0,0,0,0,1,0.15583333333333335,0,0,0,0,0,0.16583333333333333,0.033166666666666664,0.15583333333333335,0,0.32166666666666666,0.04595238095238095,0,0.15833333333333333,Pass,/app/raw_data/subj01_timepoint02.mp4
7,0,0.2,0.98,1,0.0,0.0,0.0,0.0,0.89,2.33,0.0,1.1,0.95,1.08,0.0,0.51,0.0,0.04,0.06,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9800000000000001,0.15333333333333332,0.0,0.0,0.38833333333333336,0.38833333333333336,0.0,0.1691666666666667,0.18916666666666668,0.15333333333333332,0.0,0.7108333333333334,0.15702380952380954,1,0,0,0,0,0,1,0.15333333333333332,0,0,0,0,0,0.1691666666666667,0.03383333333333334,0.15333333333333332,0,0.3225,0.046071428571428576,0,0.15833333333333333,Pass,/app/raw_data/subj01_timepoint02.mp4
8,0,0.233,0.98,1,0.0,0.0,0.0,0.0,0.92,2.39,0.0,1.08,0.98,1.09,0.0,0.4,0.0,0.15,0.04,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9800000000000001,0.15833333333333333,0.0,0.0,0.3983333333333334,0.3983333333333334,0.0,0.17250000000000001,0.19383333333333336,0.15833333333333333,0.0,0.7291666666666666,0.1610714285714286,1,0,0,0,0,0,1,0.15833333333333333,0,0,0,0,0,0.17250000000000001,0.0345,0.15833333333333333,0,0.3308333333333333,0.04726190476190476,0,0.16333333333333333,Pass,/app/raw_data/subj01_timepoint02.mp4
9,0,0.267,0.98,1,0.0,0.0,0.0,0.0,0.92,2.59,0.0,1.05,0.95,1.11,0.0,0.36,0.0,0.18,0.02,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9800000000000001,0.15583333333333335,0.0,0.0,0.43166666666666664,0.43166666666666664,0.0,0.17166666666666666,0.207,0.15583333333333335,0.0,0.7591666666666667,0.1701190476190476,1,0,0,0,0,0,1,0.15583333333333335,0,0,0,0,0,0.17166666666666666,0.034333333333333334,0.15583333333333335,0,0.3275,0.046785714285714285,0,0.15833333333333333,Pass,/app/raw_data/subj01_timepoint02.mp4
10,0,0.3,0.98,1,0.0,0.0,0.0,0.0,0.91,2.72,0.0,1.03,0.92,1.12,0.0,0.31,0.0,0.2,0.02,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9800000000000001,0.1525,0.0,0.0,0.45333333333333337,0.45333333333333337,0.0,0.17,0.21533333333333332,0.1525,0.0,0.7758333333333334,0.17559523809523808,1,0,0,0,0,0,1,0.1525,0,0,0,0,0,0.17,0.034,0.1525,0,0.3225,0.046071428571428576,0,0.15333333333333335,Pass,/app/raw_data/subj01_timepoint02.mp4
11,0,0.33299999999999996,0.98,1,0.0,0.0,0.0,0.0,0.87,2.69,0.0,1.07,0.89,1.12,0.0,0.29,0.0,0.14,0.06,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.9800000000000001,0.14666666666666667,0.0,0.0,0.4483333333333333,0.4483333333333333,0.0,0.1675,0.21283333333333335,0.14666666666666667,0.0,0.7625,0.17297619047619045,1,0,0,0,0,0,1,0.14666666666666667,0,0,0,0,0,0.1675,0.0335,0.14666666666666667,0,0.3141666666666667,0.04488095238095239,0,0.14833333333333334,Pass,/app/raw_data/subj01_timepoint02.mp4
