frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c, AU09_c, AU23_r,s_confidence,fac_hapintsoft,fac_sadintsoft,fac_surintsoft,fac_feaintsoft,fac_angintsoft,fac_disintsoft,fac_conintsoft,fac_negintsoft,fac_posintsoft,neu_exp,cai_exp,fac_comintsoft,fac_happres,fac_sadpres,fac_surpres,fac_feapres,fac_angpres,fac_dispres,fac_conpres,fac_hapinthard,fac_sadinthard,fac_surinthard,fac_feainthard,fac_anginthard,fac_disinthard,fac_coninthard,fac_neginthard,fac_posinthard,neu_exp_full,cai_exp_full,fac_cominthard,fac_happsuprinthard,fac_happsuprintsoft,error_reason,dbm_master_url
1,0,0.0,0.98,1,0.0,0.0,0.0,0.0,1.05,1.37,0.0,0.99,0.64,2.0,0.0,0.42,0.0,0.07,0.59,0.05,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.9800000000000001,0.17500000000000002,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.06666666666666667,0.17500000000000002,0.0,0.5083333333333333,0.07261904761904761,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,Pass,/app/raw_data/subj02_timepoint02.mp4
2,0,0.033,0.98,1,0.0,0.0,0.0,0.0,1.06,1.47,0.1,0.92,0.57,1.94,0.0,0.4,0.0,0.02,0.48,0.09,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.9800000000000001,0.17666666666666667,0.0,0.0,0.0,0.0,0.0,0.3233333333333333,0.06466666666666666,0.17666666666666667,0.0,0.5,0.07142857142857142,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,Pass,/app/raw_data/subj02_timepoint02.mp4
3,0,0.067,0.98,1,0.0,0.0,0.0,0.0,1.08,1.53,0.14,0.93,0.52,1.93,0.0,0.4,0.0,0.0,0.42,0.15,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.9800000000000001,0.18000000000000002,0.0,0.0,0.0,0.0,0.0,0.32166666666666666,0.06433333333333333,0.18000000000000002,0.0,0.5016666666666667,0.07166666666666667,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,Pass,/app/raw_data/subj02_timepoint02.mp4
4,0,0.1,0.98,1,0.0,0.0,0.0,0.0,1.07,1.56,0.07,0.9,0.5,1.85,0.0,0.47,0.01,0.0,0.41,0.09,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.9800000000000001,0.17833333333333334,0.0,0.0,0.0,0.0,0.0,0.30833333333333335,0.06166666666666667,0.17833333333333334,0.0,0.4866666666666667,0.06952380952380953,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,Pass,/app/raw_data/subj02_timepoint02.mp4
5,0,0.133,0.98,1,0.0,0.0,0.0,0.0,1.12,1.57,0.04,0.97,0.55,1.91,0.0,0.47,0.01,0.0,0.35,0.41,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.9800000000000001,0.18666666666666668,0.0,0.0,0.0,0.0,0.0,0.3183333333333333,0.06366666666666666,0.18666666666666668,0.0,0.505,0.07214285714285715,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,Pass,/app/raw_data/subj02_timepoint02.mp4
6,0,0.16699999999999998,0.98,1,0.13,0.0,0.0,0.0,1.07,1.86,0.0,1.06,0.62,1.93,0.0,0.37,0.01,0.0,0.32,0.95,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9800000000000001,0.17833333333333334,0.0,0.0,0.0,0.0,0.0,0.32166666666666666,0.06433333333333333,0.17833333333333334,0.0,0.5,0.07142857142857142,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,Pass,/app/raw_data/subj02_timepoint02.mp4
7,0,0.2,0.98,1,0.17,0.0,0.0,0.0,1.03,1.87,0.0,1.23,0.67,2.14,0.06,0.31,0.03,0.0,0.29,1.58,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9800000000000001,0.17166666666666666,0.0,0.0,0.0,0.0,0.0,0.3566666666666667,0.07133333333333333,0.17166666666666666,0.0,0.5283333333333333,0.07547619047619047,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,Pass,/app/raw_data/subj02_timepoint02.mp4
8,0,0.233,0.98,1,0.17,0.0,0.0,0.0,1.05,1.95,0.0,1.24,0.7,2.24,0.06,0.34,0.05,0.05,0.28,1.88,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9800000000000001,0.17500000000000002,0.0,0.0,0.325,0.325,0.0,0.37333333333333335,0.2046666666666667,0.17500000000000002,0.0,0.8733333333333333,0.17119047619047617,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,Pass,/app/raw_data/subj02_timepoint02.mp4
9,0,0.267,0.98,1,0.04,0.0,0.0,0.0,1.11,1.93,0.0,1.21,0.67,2.18,0.06,0.43,0.05,0.06,0.19,1.76,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9800000000000001,0.18500000000000003,0.0,0.0,0.32166666666666666,0.32166666666666666,0.0,0.36333333333333334,0.2013333333333333,0.18500000000000003,0.0,0.8700000000000001,0.17023809523809524,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,Pass,/app/raw_data/subj02_timepoint02.mp4
10,0,0.3,0.98,1,0.0,0.0,0.0,0.0,1.11,1.94,0.0,1.14,0.62,1.99,0.0,0.29,0.02,0.06,0.09,1.18,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9800000000000001,0.18500000000000003,0.0,0.0,0.3233333333333333,0.3233333333333333,0.0,0.33166666666666667,0.19566666666666666,0.18500000000000003,0.0,0.84,0.16619047619047617,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,Pass,/app/raw_data/subj02_timepoint02.mp4
