fac_AU01int,fac_AU02int,fac_AU04int,fac_AU05int,fac_AU06int,fac_AU07int,fac_AU09int,fac_AU10int,fac_AU12int,fac_AU14int,fac_AU15int,fac_AU17int,fac_AU20int,fac_AU23int,fac_AU25int,fac_AU26int,fac_AU45int,fac_AU01pres,fac_AU02pres,fac_AU04pres,fac_AU05pres,fac_AU06pres,fac_AU07pres,fac_AU09pres,fac_AU10pres,fac_AU12pres,fac_AU14pres,fac_AU15pres,fac_AU17pres,fac_AU20pres,fac_AU23pres,fac_AU25pres,fac_AU26pres,fac_AU28pres,fac_AU45pres,frame,face_id,timestamp,confidence,success,dbm_master_url
0.0,0.0,0.0,0.0,0.97,1.2,0.0,0.92,0.44,1.9,0.0,0.46,0.0,0.0,0.04,0.53,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0,0.5329999999999999,0.98,1,/app/raw_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,1.0,1.13,0.0,0.92,0.42,1.89,0.0,0.51,0.0,0.0,0.01,0.56,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0,0.5670000000000001,0.98,1,/app/raw_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,1.0,1.01,0.01,0.94,0.4,1.82,0.0,0.53,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0,0.6,0.98,1,/app/raw_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,1.0,1.06,0.05,0.91,0.39,1.78,0.0,0.5,0.0,0.0,0.02,0.44,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0,0.633,0.98,1,/app/raw_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,1.01,1.11,0.08,0.89,0.43,1.71,0.0,0.36,0.0,0.0,0.07,0.41,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,0,0.667,0.98,1,/app/raw_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,1.06,1.22,0.07,0.82,0.46,1.73,0.0,0.26,0.05,0.0,0.07,0.42,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0,0.7,0.98,1,/app/raw_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,1.09,1.38,0.03,0.77,0.47,1.72,0.0,0.15,0.05,0.0,0.05,0.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0,0.733,0.98,1,/app/raw_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,1.06,1.39,0.02,0.79,0.39,1.75,0.0,0.2,0.05,0.0,0.06,0.42,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0,0.767,0.98,1,/app/raw_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,1.02,1.36,0.02,0.85,0.36,1.74,0.0,0.23,0.06,0.0,0.06,0.39,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0,0.8,0.98,1,/app/raw_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,1.04,1.35,0.07,0.92,0.36,1.73,0.0,0.42,0.15,0.05,0.06,0.32,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,0,0.833,0.98,1,/app/raw_data/subj02_timepoint02.mp4
